Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22uF,
"C10, C12, C14, C18, C7, C8, C9",0805,7,100n,
C11,0805,1,4.7u,
"C13, C15",0805,2,1u,
"C16, C17",0805,2,6.8p,
D1,0805,1,RED,
J1,Molex_SL_171971-0020_1x20_P2.54mm_Vertical,1,Conn_01x20_Pin,
J2,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
JP16,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"L1, L2",0805,2,600R@100MHz,
"Q1, Q2",NTR4003NT3G,2,CPC1966YX6,
"R2, R3, R4, R5",0805,4,1K,
R6,0805,1,10k,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBT6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LTL-30EHJH96,1,LTL-30EHJH96,
U5,MAX6817EUT_T,1,MAX6817EUT_T,
"U6, U7, U8, U9",CPC1966YX6,4,CPC1966YX6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322524MSB4SI,
