Designator,Mid X,Mid Y,Rotation,Layer
C10,189.2162,-75.5774,90.0,top
C11,193.7162,-62.5774,90.0,top
C12,205.4162,-83.0774,180.0,top
C13,205.4162,-85.3274,180.0,top
C14,201.0162,-83.5774,180.0,top
C15,197.2662,-80.3274,180.0,top
C16,185.6662,-60.5774,180.0,top
C17,185.7162,-67.0774,0.0,top
C18,188.9162,-71.0774,0.0,top
C19,214.0787,-97.3274,0.0,top
C20,150.2662,-75.1874,90.0,top
C21,153.7062,-65.3474,0.0,top
C22,158.9687,-66.6174,180.0,top
C23,149.9662,-58.0774,0.0,top
C24,155.2702,-91.4654,90.0,top
C25,163.6522,-93.4974,270.0,top
C26,155.2702,-116.7994,90.0,top
C27,166.7002,-96.5454,270.0,top
C28,151.7142,-91.4654,90.0,top
C29,151.4602,-116.7994,90.0,top
C30,212.8037,-117.0774,0.0,top
C31,164.6682,-118.3894,90.0,top
C32,166.1922,-122.1994,270.0,top
C33,196.9162,-98.3274,0.0,top
C34,197.1662,-119.8274,0.0,top
C35,223.7662,-102.3274,180.0,top
C36,219.9287,-92.3274,0.0,top
C37,223.9162,-124.3274,180.0,top
C38,219.9662,-115.3274,0.0,top
C39,224.4662,-145.3274,0.0,top
C40,224.4662,-149.0774,0.0,top
C7,191.2162,-65.5774,90.0,top
C8,207.7162,-80.0774,0.0,top
C9,207.2162,-66.3274,270.0,top
D1,221.1537,-69.5714,180.0,top
D10,136.2162,-117.5774,270.0,top
D11,136.2162,-81.5774,270.0,top
D5,221.1537,-65.1354,180.0,top
D6,176.1017,-63.9314,180.0,top
D7,240.2162,-114.1399,270.0,top
D8,239.9662,-91.7649,270.0,top
D9,136.2162,-93.8274,270.0,top
J1,252.8062,-115.4574,90.0,top
J2,193.1162,-35.0774,90.0,top
J4,53.1622,-110.4234,90.0,top
JP16,156.2862,-37.6174,0.0,top
L1,209.2162,-84.8274,0.0,top
L2,202.2787,-80.3274,180.0,top
L3,144.3412,-60.3024,270.0,top
L4,170.8412,-86.3024,270.0,top
L5,170.8412,-111.0524,270.0,top
R10,160.2387,-73.3249,90.0,top
R11,214.1287,-90.0774,180.0,top
R12,167.9702,-91.9734,90.0,top
R13,171.5262,-96.5454,90.0,top
R14,203.9662,-114.3254,0.0,top
R15,212.8037,-113.0774,180.0,top
R16,167.9702,-117.3734,90.0,top
R17,170.5102,-122.1994,90.0,top
R18,217.1287,-69.5774,0.0,top
R19,217.1287,-65.0774,0.0,top
R20,171.9662,-63.8274,0.0,top
R21,240.2162,-117.9899,90.0,top
R22,239.9662,-95.4899,90.0,top
R23,192.9662,-88.4149,90.0,top
R24,192.7162,-108.3274,90.0,top
R25,227.5537,-87.8274,180.0,top
R26,219.8787,-88.5774,0.0,top
R27,228.4662,-102.3274,180.0,top
R28,218.0537,-133.1274,0.0,top
R29,218.0537,-136.8274,0.0,top
R30,218.0537,-140.5774,0.0,top
R31,224.3037,-133.0774,0.0,top
R32,224.3037,-136.8274,0.0,top
R33,224.3787,-140.8274,0.0,top
R35,228.2162,-124.3274,180.0,top
R36,220.1287,-111.3274,0.0,top
R37,226.9662,-109.5774,180.0,top
R6,151.7162,-51.9149,90.0,top
R7,204.9662,-93.3274,0.0,top
R8,153.5737,-74.8724,270.0,top
R9,157.6987,-73.3249,270.0,top
T2,74.1042,-62.8974,270.0,top
TP1,182.9662,-85.3274,0.0,top
TP2,182.9662,-93.3274,0.0,top
TP3,171.2162,-58.3274,0.0,top
TP4,182.9662,-98.3274,0.0,top
TP5,182.9662,-124.3274,0.0,top
U1,198.3912,-71.5774,270.0,top
U2,195.9662,-93.4974,0.0,top
U3,195.9662,-114.5794,0.0,top
U4,159.8422,-91.7194,0.0,top
U5,153.5737,-69.4724,180.0,top
U6,225.8162,-94.7274,270.0,top
U7,225.9162,-117.0774,270.0,top
U8,160.6042,-116.8654,0.0,top
Y1,185.5662,-63.6774,180.0,top
